Company,Bike Model,Model Year,Price (Rs),Finance_Available(Yes/No),City,State
Ola,Ola S1 Pro Gen2,2023,100000,Yes,"Pimpri-Chinchwad, Pune", Maharashtra
Royal Enfield,Royal Enfield Thunderbird 350,2016,100000,Yes,Ahmedabad, Gujarat
Ola,Ola S1 Pro,2023,120000,Yes,"Hubballi, Dharwad", Karnataka
Yamaha,Yamaha FZ-S FI Hybrid,2025,156000,Yes,Faridabad, Haryana
Jawa,Jawa 42 Dual Channel ABS Cosmic Carbon,2023,160000,Yes,Bhubaneshwar, Orissa
Bajaj,Bajaj Pulsar 135LS,2010,25000,Yes,"Borivali, Mumbai", Maharashtra
Bajaj,Bajaj Pulsar NS 160,2017,60000,Yes,"Hadapsar, Pune", Maharashtra
Triumph,Triumph Trident 660,2021,750000,Yes,Bangalore, Karnataka
Yamaha,Yamaha MT-15 MotoGP Edition,2024,180000,Yes,New Delhi, Delhi
Bajaj,Bajaj Pulsar,2024,115000,Yes,"Marathahalli, Bangalore", Karnataka
Yamaha,Yamaha Fazer FI V2,2018,50000,Yes,Bilaspur, Chhattisgarh
TVS,TVS Apache RTR 160 4V,2018,55000,Yes,"Ranebennur, Haveri", Karnataka
Ola,Ola S1 Pro,2023,120000,Yes,Hyderabad, Telangana
Bajaj,Bajaj Pulsar 125,2020,45000,Yes,Purnia, Bihar
TVS,TVS NTORQ 125,2020,38000,Yes,East Delhi, Delhi
Yamaha,Yamaha R15M,2024,230000,Yes,Hyderabad, Telangana
Jawa,Jawa Perak BS6,2022,210000,Yes,Bangalore, Karnataka
Bajaj,Bajaj Pulsar 220F BS6,2020,90000,Yes,Navi Mumbai, Maharashtra
TVS,TVS Jupiter BS6,2021,60000,Yes,Tirupati, Andhra Pradesh
Yamaha,Yamaha SZ-R,2012,20000,Yes,Thane, Maharashtra
Jawa,Jawa Perak BS6,2023,235000,Yes,Meerut, Uttar Pradesh
Hero,Hero XPulse 200T,2021,59999,Yes,Didwana-Kuchaman, Rajasthan
Ola,Ola S1X Plus,2024,80000,Yes,"Banashankari, Bangalore", Karnataka
Triumph,Triumph Bonneville T100,2019,540000,Yes,Pune, Maharashtra
Pure,Pure EV Etrance Neo,2022,30000,Yes,"Andheri West, Mumbai", Maharashtra
Honda,Honda Dio BS6,2021,90000,Yes,"Rajajinagar, Bangalore", Karnataka
Honda,Honda Activa 4G,2017,35000,Yes,"Ambarnath, Thane", Maharashtra
Mahindra,Mahindra Gusto,2015,25000,Yes,Kolkata, West Bengal
TVS,TVS Apache RTR 200 4V ABS,2021,100000,Yes,"Dombivli, Thane", Maharashtra
Honda,Honda Shine 125 Drum,2023,75000,Yes,Bharuch, Gujarat
TVS,TVS Ronin TD,2022,140000,Yes,Pune, Maharashtra
TVS,TVS Jupiter Classic,2018,50000,Yes,"Daund, Pune", Maharashtra
Honda,Honda SP 125 BSVI,2020,65000,Yes,Rewari, Haryana
Honda,Honda Unicorn,2023,110000,Yes,"Hadapsar, Pune", Maharashtra
Royal Enfield,Royal Enfield Meteor 350,2023,210000,Yes,Tirupattur, Tamil Nadu
Royal Enfield,Royal Enfield Classic 350,2019,110000,Yes,New Delhi, Delhi
TVS,TVS Apache RTR 160 4V BS6,2020,70000,Yes,Howrah, West Bengal
Yamaha,Yamaha FZ-S,2011,25000,Yes,Thane, Maharashtra
Jawa,Jawa Jawa,2021,100000,Yes,Jamshedpur, Jharkhand
Yezdi,Yezdi Adventure Gloss 2024,2024,240000,Yes,Jamnagar, Gujarat
Bajaj,Bajaj Platina 100 ES BS6,2023,60000,Yes,Medak, Telangana
Royal Enfield,Royal Enfield Bullet 350 ES BS6,2022,160000,Yes,"Dasuya, Hoshiarpur", Punjab
Okinawa,Okinawa Praise,2022,25000,Yes,"Hebbal, Bangalore", Karnataka
Hero,Hero Karizma ZMR,2010,21000,Yes,"Gandhinagar, Ahmedabad", Gujarat
Yamaha,Yamaha YZF R15 V3 BS6,2021,120000,Yes,Medchal, Telangana
Harley,Harley Davidson Street 750,2017,350000,Yes,Pune, Maharashtra
Bajaj,Bajaj Avenger Street 150,2017,73000,Yes,Navi Mumbai, Maharashtra
Okinawa,Okinawa Ridge,2019,15000,Yes,"Sholinganallur, Chennai", Tamil Nadu
TVS,TVS Apache RTR 180,2023,85000,Yes,"Bodh Gaya, Gaya", Bihar
Royal Enfield,Royal Enfield Bullet 350 ES BS6,2020,130000,Yes,Bahraich, Uttar Pradesh
Vespa,Vespa LX 125,2012,26000,Yes,"Banashankari, Bangalore", Karnataka
Yamaha,Yamaha FZ-S FI V3,2021,70000,Yes,Kadapa, Andhra Pradesh
Bajaj,Bajaj Pulsar RS 200 ABS,2015,60000,Yes,Ghaziabad, Uttar Pradesh
Yamaha,Yamaha FZ-S FI Ver 4.0 DLX,2023,100000,Yes,New Delhi, Delhi
Yamaha,Yamaha MT-15,2021,150000,Yes,"Doiwala, Dehradun", Utarakhand
TVS,TVS Apache RTR 200 4V Race Edition 2.0,2019,80000,Yes,"Karjat, Raigad", Maharashtra
Hero,Hero Glamour Xtec,2023,78000,Yes,"Bodh Gaya, Gaya", Bihar
Honda,Honda Activa 125,2025,100000,Yes,Pimpri-Chinchwad, Maharashtra
Suzuki,Suzuki Intruder 150,2018,60000,Yes,"Kalyanpur, Kanpur Nagar", Uttar Pradesh
TVS,TVS Apache RTR 160 4V BS6,2023,110000,Yes,Erode, Tamil Nadu
Bajaj,Bajaj Dominar 250,2024,195000,Yes,Nandurbar, Maharashtra
TVS,TVS iQube 2.2kWh 2025,2024,85000,Yes,Hyderabad, Telangana
Bajaj,Bajaj Avenger Street 220,2016,50000,Yes,Dehradun, Utarakhand
Yamaha,Yamaha Aerox 155 Version S,2024,145000,Yes,New Delhi, Delhi
Bajaj,Bajaj Avenger 220 DTS-i,2014,35000,Yes,Hyderabad, Telangana
Honda,Honda Shine 125,2019,70900,Yes,Bhubaneshwar, Orissa
KTM,KTM RC 200,2016,90000,Yes,Rohtak, Haryana
Honda,Honda CBF Stunner,2014,20000,Yes,"Nasirabad, Ajmer", Rajasthan
Jawa,Jawa Perak BS6,2022,140000,Yes,South East Delhi, Delhi
Yezdi,Yezdi Adventure Matte,2023,140000,Yes,"Chabua, Dibrugarh", Assam
Honda,Honda XBlade BS6,2020,80000,Yes,Navi Mumbai, Maharashtra
TVS,TVS NTORQ 125 Race Edition,2022,75000,Yes,Bangalore, Karnataka
Honda,Honda Hornet 2.0,2021,85000,Yes,"Kalyan, Thane", Maharashtra
TVS,TVS Apache RR 310,2021,180000,Yes,Ahmedabad, Gujarat
Bicycle,Bicycle  Gsports Triton mx,2025,24000,No,Bangalore, Karnataka
Honda,Honda CB350 DLX Pro,2020,180000,Yes,"Kunigal, Tumkur", Karnataka
Honda,Honda CBR 250R,2015,75000,Yes,"Bihar Sharif, Nalanda", Bihar
Royal Enfield,Royal Enfield Thunderbird 350,2017,92000,Yes,Kolkata, West Bengal
Okinawa,Okinawa Ridge Plus,2023,40000,Yes,"Dwarka, South West Delhi", Delhi
TVS,TVS NTORQ,2018,40000,Yes,Mumbai, Maharashtra
Bajaj,Bajaj Pulsar 125 Neon Disc Single Seat,2020,60000,Yes,"Bansberia, Hooghly", West Bengal
Bajaj,Bajaj CT 100,2020,42000,Yes,Hyderabad, Telangana
Honda,Honda CB Hornet 160R,2016,55000,Yes,Jaipur, Rajasthan
Hero,Hero Passion Pro,2014,22000,Yes,South Delhi, Delhi
Triumph,Triumph Speed T4,2025,250000,Yes,"Electronic City, Bangalore", Karnataka
TVS,TVS Sport BS6,2021,48000,Yes,Noida, Uttar Pradesh
Yamaha,Yamaha R15 V4,2023,140000,Yes,Ghaziabad, Uttar Pradesh
Royal Enfield,Royal Enfield Classic 350,2018,125000,Yes,"Kayamkulam, Alappuzha", Kerala
Yamaha,Yamaha YZF R1,2023,165000,Yes,"Bhusawal, Jalgaon", Maharashtra
TVS,TVS Apache RTR 160 4V,2023,99999,Yes,Hardoi, Uttar Pradesh
Hero,Hero XPulse 200T BS6,2020,85000,Yes,Pimpri-Chinchwad, Maharashtra
Yezdi,Yezdi Roadster Dark,2022,150000,Yes,Guwahati, Assam
Yamaha,Yamaha YZF R15 V3,2019,108000,Yes,Madurai, Tamil Nadu
Yamaha,Yamaha FZS 25 BS6,2021,115000,Yes,"Dadar, Mumbai", Maharashtra
TVS,TVS Apache RTR 160 4V 2024,2024,120000,Yes,"Narkatiaganj, West Champaran", Bihar
KTM,KTM RC 125 2020,2020,130000,Yes,Rewari, Haryana
