Company,Bike Model,Model Year,Price (Rs),Finance_Available(Yes/No),City,State
TVS,TVS Ronin DS,2023,110000,Yes,Noida, Uttar Pradesh
Royal Enfield,Royal Enfield Classic 350,2015,105000,Yes,Bangalore, Karnataka
Royal Enfield,Royal Enfield 2023 Bullet 350,2023,230000,Yes,"Manwal, Udhampur", Jammu Kashmir
Bajaj,Bajaj Platina 100 ES,2021,50000,Yes,"Thuraiyur, Tiruchirappalli", Tamil Nadu
TVS,TVS Apache RTR 180 BS6,2022,90000,Yes,Bangalore, Karnataka
KTM,KTM Duke 250 2024,2024,290000,Yes,"Yelahanka, Bangalore", Karnataka
Honda,Honda CBF Stunner,2016,35000,Yes,Nagpur, Maharashtra
Royal Enfield,Royal Enfield Bullet Standard 350,2018,150000,Yes,New Delhi, Delhi
Yamaha,Yamaha FZ16,2015,30000,Yes,Guntur, Andhra Pradesh
Honda,Honda Navi,2016,20000,Yes,Bangalore, Karnataka
Hero,Hero Super Splendor,2021,60000,Yes,Nagaur, Rajasthan
Bajaj,Bajaj Pulsar RS 200 ABS,2018,95000,Yes,"Pimpri-Chinchwad, Pune", Maharashtra
Honda,Honda Activa 6G Std,2021,50000,Yes,Hyderabad, Telangana
Bajaj,Bajaj Avenger Street 160,2019,59000,Yes,Jharsuguda, Orissa
TVS,TVS Apache RTR 160 4V BS6,2021,75000,Yes,Faridabad, Haryana
KTM,KTM 390 Adventure 2022,2022,299000,Yes,Pimpri-Chinchwad, Maharashtra
KTM,KTM 390 Adventure,2020,225000,Yes,"Rudrapur, Udham Singh Nagar", Utarakhand
TVS,TVS Apache RTR 160 4V Special Edition,2022,110000,Yes,Jaipur, Rajasthan
Hero,Hero Maestro,2016,30000,Yes,"Khatima, Udham Singh Nagar", Utarakhand
Hero,Hero Splendor Plus,2006,25000,Yes,"Yelahanka, Bangalore", Karnataka
Bajaj,Bajaj CT 125X,2023,70000,Yes,"Mira-Bhayandar, Thane", Maharashtra
Revolt,Revolt RV 400,2023,110000,Yes,Ahmedabad, Gujarat
Honda,Honda CB350 DLX,2021,175000,Yes,"HSR Layout, Bangalore", Karnataka
TVS,TVS Jupiter,2016,45000,Yes,"Hadapsar, Pune", Maharashtra
Kawasaki,Kawasaki Ninja 300 BS6 2023,2023,250000,Yes,Hyderabad, Telangana
Yezdi,Yezdi Scrambler Dual Tone,2022,150000,Yes,Jamnagar, Gujarat
Royal Enfield,Royal Enfield Classic 350,2017,130000,Yes,"Alibag, Raigad", Maharashtra
Hero,Hero XPulse 200,2021,86000,Yes,Thanjavur, Tamil Nadu
Bajaj,Bajaj Avenger Cruise 220 BS6,2021,95000,Yes,Kolkata, West Bengal
Royal Enfield,Royal Enfield Thunderbird 350,2017,70000,Yes,"Asansol, Paschim Bardhaman", West Bengal
Hero,Hero Passion Pro,2012,17500,Yes,Gurgaon, Haryana
Hero,Hero Splendor Plus XTEC 2.0,2025,87000,Yes,New Delhi, Delhi
Honda,Honda Hness CB 350,2024,220000,Yes,Kolkata, West Bengal
TVS,TVS Raider SX,2024,90000,Yes,Aurangabad, Bihar
Honda,Honda QC1,2025,90000,Yes,"Banashankari, Bangalore", Karnataka
TVS,TVS NTORQ 125 Race XP,2024,90000,Yes,"Wadi, Gulbarga", Karnataka
Royal Enfield,Royal Enfield Classic 350 Dual Channel BS6,2021,200000,Yes,Chennai, Tamil Nadu
Yezdi,Yezdi Adventure Gloss 2024,2024,195000,Yes,Ghaziabad, Uttar Pradesh
Ather,Ather Rizta Z,2024,100000,Yes,"Sanganer, Jaipur", Rajasthan
Bajaj,Bajaj Pulsar 125,2019,64000,Yes,Nashik, Maharashtra
Bajaj,Bajaj 2021 Dominar 400,2021,165000,Yes,"Kochi, Ernakulam", Kerala
Bajaj,Bajaj Avenger 220 DTS-i,2014,47500,Yes,"Kharar, Mohali", Punjab
Jawa,Jawa  42 bobber,2023,180000,Yes,Ghaziabad, Uttar Pradesh
Honda,Honda CB300F Deluxe,2023,140000,Yes,Indore, Madhya Pradesh
Hero,Hero Maestro Edge,2018,38000,Yes,"Byasanagar, Jajpur", Orissa
Royal Enfield,Royal Enfield Classic 350,2015,130000,Yes,Bangalore, Karnataka
Yamaha,Yamaha FZ-S FI V3,2020,65000,Yes,Idukki, Kerala
Hero,Hero CBZ Xtreme,2013,35000,Yes,Ahmedabad, Gujarat
TVS,TVS NTORQ 125 XT,2023,105000,Yes,Jaipur, Rajasthan
Hero,Hero Passion Pro,2017,40000,Yes,"Barauni, Begusarai", Bihar
